日付,借方,貸方,伝票番号,概要
20240101,160,,IMG_5456,FM
20240101,376,,IMG_5459,olympic
20240101,1175,,IMG_5749,s
20240102,1558,,IMG_5753,s
20240102,28930,,IMG_5755,
20240102,280,,IMG_5756,s
20240102,330,,IMG_5759,
20240103,1879,,IMG_5437,イトーヨーカドー
20240103,2252,,IMG_5460,7i
20240104,457,,IMG_5451,OK
20240104,215,,IMG_5751,s
20240105,590,,IMG_6057,
20240109,279,,IMG_5440,イオン
20240109,788,,IMG_5458,olympic
20240110,770,,IMG_5447,
20240110,2080,,IMG_5452,suica charge
20240110,649,,IMG_5455,7i
20240110,1344,,IMG_5457,olympic
20240111,1190,,IMG_5443,
20240111,8161,,IMG_5450,lopia
20240111,790,,IMG_5461,飲食代
20240112,632,,IMG_5441,イオン
20240112,2420,,IMG_5453,お土産代
20240112,200,,IMG_5579,super
20240112,835,,IMG_5580,super
20240113,1700,,IMG_5444,ベスト10
20240113,3815,,IMG_5812,
20240113,4908,,IMG_5814,s
20240114,502,,IMG_5448,OK
20240115,513,,IMG_5578,super
20240116,268,,IMG_5436,オーケー
20240116,8360,,IMG_5439,ロピア
20240116,250,,IMG_5454,
20240116,648,,IMG_5586,s
20240118,259,,IMG_5587,
20240119,2332,,IMG_5809,
20240119,1695,,IMG_5810,s
20240119,1102,,IMG_5622,s
20240120,308,,IMG_5573,super
20240121,40440,,IMG_5768,
20240121,22440,,IMG_5769,
20240121,257,,IMG_5575,super
20240121,845,,IMG_5588,s
20240121,9132,,IMG_5607,s
20240121,4068,,IMG_5621,s
20240121,990,,IMG_5623,daiso
20240122,426,,IMG_5557,super
20240123,6611,,IMG_5589,s
20240124,2190,,IMG_5815,s
20240125,318,,IMG_5760,s
20240125,548,,IMG_5819,s
20240125,2017,,IMG_5820,s
20240125,298,,IMG_5590,s
20240126,651,,IMG_5762,super
20240126,2820,,IMG_5549,super
20240126,2717,,IMG_5620,s
20240127,4187,,IMG_5564,super
20240128,2982,,IMG_5619,s
20240128,1641,,IMG_5658,s
20240129,429,,IMG_5761,me
20240129,1079,,IMG_5566,super
20240129,450,,IMG_5582,super
20240130,1054,,IMG_5811,s
20240131,733,,IMG_5558,
20240131,511,,IMG_5565,super
20240131,3278,,IMG_5567,super
20240131,384,,IMG_5570,super
