日付,借方,貸方,伝票番号,概要
20240202,1220,,IMG_5714,
20240202,15113,,IMG_5787,super
20240204,5468,,IMG_5796,
20240206,3740,,IMG_5602 (1),
20240208,510,,IMG_6055,
20240208,47940,,IMG_6056 (1),
20240209,1151,,IMG_5786,s
20240210,2450,,IMG_5757,
20240210,11691,,IMG_5791,
20240210,2419,,IMG_5797,
20240211,720,,IMG_5792,
20240212,21580,,IMG_5730,
20240213,7650,,IMG_5711,
20240213,15310,,IMG_5712,
20240213,3200,,IMG_5715,
20240213,307,,IMG_5717,s
20240213,983,,IMG_5781,s
20240213,2166,,IMG_5790,s
20240213,6925,,IMG_5630,hotel
20240214,15236,,IMG_5631,hotel
20240215,1000,,IMG_5716,
20240215,1425,,IMG_5788,
20240215,922,,IMG_5789,
20240215,10340,,IMG_5601 (1),
20240216,1185,,IMG_5713,
20240216,1130,,IMG_5729,
20240216,820,,IMG_5793,
20240221,1746,,IMG_5783,
20240223,4499,,IMG_5737,
20240210,¥880,,,タイムズレンタカー
